_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
67701de698949642939f9869,,98.39,100,98.39,75.53,123;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1735400934000
67701dcc98949642939f9761,,109.56,99.28,109.56,85.04,137;0;0;0,time,15,-1,1,15.01,0,1.45,false,false,english,,normal,false,false,false,,1735400908000
67701dac98949642939f9616,,101.51,97.79,107.11,80.91,127;0;0;1,time,15,-1,2,15.01,0,11.85,false,false,english,,normal,false,false,false,,1735400876000
67480fbb86fa6e365fc6384e,,40.79,88.71,49.59,78.6,51;5;0;1,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1732775867000
67252f0650538de2c2957ec5,,108.79,100,108.79,84.68,136;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730490118000
67252ef350538de2c2957dfe,,100.78,99.25,107.18,81.97,126;1;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1730490099000
6717781350538de2c2f848d6,,105.5,97.83,108.7,79.3,132;0;0;1,time,15,-1,0,15.01,0,0,false,false,english,,normal,false,false,false,,1729591314000
6708d2763b43e6c05dcc7133,,104.76,96.35,109.56,76.73,131;3;1;0,time,15,-1,3,15.01,0,13.41,false,false,english,,normal,false,false,false,,1728631414000
6708d24b3b43e6c05dcc6f76,,111.85,100,111.85,82.65,140;0;0;0,time,15,-1,6,15.02,0,34.71,false,false,english,,normal,false,false,false,,1728631371000
6708d20c3b43e6c05dcc6d4c,,104.75,100,104.75,83.03,131;0;0;0,time,15,-1,3,15.01,0,12.67,false,false,english,,normal,false,false,false,,1728631308000
6708d1e33b43e6c05dcc6b88,,100.78,100,100.78,80.66,126;0;0;0,time,15,-1,0,15,0,0,false,false,english,,normal,false,false,false,,1728631267000
